sensor1,sensor2,sensor3,kneesensor
5,4,0,771
5,5,0,687
5,5,0,686
6,6,0,700
1,1,0,683
0,7,524,692
7,15,409,653
15,21,325,530
14,18,275,521
14,20,335,638
13,20,383,773
13,21,457,757
11,11,0,697
9,9,0,691
10,10,0,697
7,8,24,686
8,17,695,685
16,24,445,665
18,23,282,580
16,20,272,536
15,19,278,607
15,21,345,767
14,20,352,786
11,11,0,714
11,11,0,704
11,11,0,704
12,12,0,689
5,5,46,699
13,14,94,670
14,15,86,564
12,15,184,512
14,17,222,576
15,19,280,749
12,17,303,775
12,12,0,683
10,10,0,690
10,10,0,697
6,6,0,712
2,9,516,698
2,8,350,666
14,17,225,559
8,12,216,529
8,13,274,597
6,12,296,743
7,13,299,795
10,10,0,720
6,5,0,695
7,6,0,701
6,5,0,695
4,12,530,702
9,14,318,685
15,19,220,581
12,17,248,531
13,17,294,600
12,17,313,738
11,16,320,776
12,12,0,685
7,6,0,695
7,7,0,714
6,6,6,714
3,11,537,723
9,19,555,685
14,21,400,558
13,20,383,537
11,19,416,626
15,83,427,758
13,12,0,783
11,11,0,713
10,10,0,701
7,7,0,720
8,8,9,727
10,15,393,693
13,18,301,593
